USD,美元
EUR,歐元
JPY,日圓
GBP,英鎊
AUD,澳幣
CAD,加幣
CHF,瑞士法郎
CNY,人民幣
HKD,港幣
TWD,台幣
SGD,新加坡幣
NZD,紐幣
SEK,瑞典克朗
NOK,挪威克朗
DKK,丹麥克朗
ZAR,南非幣
INR,印度盧比
THB,泰銖
KRW,韓元
MYR,馬幣
PHP,菲律賓比索
IDR,印尼盾
VND,越南盾
RUB,俄羅斯盧布
BRL,巴西雷亞爾
MXN,墨西哥比索
ARS,阿根廷比索
PLN,波蘭茲羅提
CZK,捷克克朗
HUF,匈牙利福林
TRY,土耳其里拉
ILS,以色列新謝克爾
SAR,沙烏地里亞爾
AED,阿拉伯聯合大公國迪拉姆
KWD,科威特第納爾
QAR,卡達里亞爾
EGP,埃及鎊
NGN,奈及利亞奈拉
PKR,巴基斯坦盧比
BDT,孟加拉塔卡
LKR,斯里蘭卡盧比
NPR,尼泊爾盧比
MAD,摩洛哥迪拉姆
TND,突尼西亞第納爾
UAH,烏克蘭赫里夫尼亞
CLP,智利比索
COP,哥倫比亞比索
PEN,秘魯索爾
UYU,烏拉圭披索
DZD,阿爾及利亞第納爾
JOD,約旦第納爾
OMR,阿曼里亞爾
BHD,巴林第納爾
XOF,西非法郎
XAF,中非法郎
GHS,迦納塞地
KES,肯亞先令
